species_code,scientific_name,body_mass_g,beak_length_culmen,beak_length_nares,beak_width,wing_length,trophic_niche
colara2,Pteroglossus torquatus,219.1,104,89.4,22.9,146.9,Frugivore
kebtou1,Ramphastos sulfuratus,409.7,129.2,132.3,33.7,200.4,Frugivore
eargre,Podiceps nigricollis,412.4,26.2,15.4,5.5,127.2,Aquatic predator
pibgre,Podilymbus podiceps,411.9,28.8,14.1,5.4,125.6,Aquatic predator
leagre,Tachybaptus dominicus,132.6,23.1,12.9,4.2,97,Aquatic predator
wispet,Oceanites oceanicus,30.4,16.3,7.1,2.9,147.2,Aquatic predator
pifshe,Ardenna creatopus,744,48.4,33,9.2,324,Aquatic predator
greshe,Ardenna gravis,849,54.7,36.3,8.3,317.8,Aquatic predator
wetshe,Ardenna pacifica,388,40.9,30.7,7.9,296.8,Aquatic predator
audshe,Puffinus lherminieri,192.8,31,20.6,4.9,185.3,Aquatic predator
chrshe,Puffinus nativitatis,356,29.1,22.3,5.7,235.5,Aquatic predator
audshe3,Puffinus subalaris,168,29.8,20.6,4.6,186.2,Aquatic predator
whfpar1,Amazona albifrons,206,30.2,25.9,14.8,169.4,Omnivore
yenpar1,Amazona auropalliata,476.9,42.6,34.8,19.4,205.6,Omnivore
relpar10,Amazona autumnalis,416,39.1,30.1,16.4,201.7,Frugivore
meapar,Amazona farinosa,626,42.3,35.6,20.5,244.9,Omnivore
yehpar,Amazona oratrix,476.9,39.3,31.6,18.4,222.6,Omnivore
yelpar1,Amazona xantholora,217,30.6,23.9,14.2,165.2,Frugivore
scamac1,Ara macao,1015,67.2,64.1,31.8,393.7,Omnivore
barpar1,Bolborhynchus lineola,56.2,12.7,11.3,8,104.3,Omnivore
orcpar,Brotogeris jugularis,63.2,21.1,16.1,9.2,110.7,Omnivore
orfpar,Eupsittula canicularis,85,20.8,17.6,11.9,132.7,Frugivore
oltpar1,Eupsittula nana,76.9,20.6,20.8,13.9,134.9,Frugivore
monpar,Myiopsitta monachus,120,22.2,19.7,12.9,145.2,Omnivore
whcpar,Pionus senilis,212,30.6,23.3,13.6,164.6,Omnivore
grnpar,Psittacara holochlorus,138,27.6,25.8,16.1,165.5,Omnivore
brhpar1,Pyrilia haematotis,149,25.7,19,10.4,152.2,Omnivore
uswowl1,Aegolius ridgwayi,80,18.4,12.1,7.9,138.3,Vertivore
strowl1,Asio clamator,443.3,32.9,18.6,10.4,248.9,Vertivore
styowl1,Asio stygius,565,41.8,20.3,9.9,326.8,Vertivore
grhowl,Bubo virginianus,1354.5,44.7,24.7,17.8,371.2,Vertivore
NA,Ciccaba nigrolineata,457.9,36.6,18.4,9,255,Invertivore
NA,Ciccaba virgata,284,33,17.2,9,240.6,Vertivore
fepowl,Glaucidium brasilianum,63.3,15.1,10.3,6.1,93.8,Invertivore
nopowl,Glaucidium gnoma,61.3,14.1,8.6,4.9,87.8,Invertivore
capowl1,Glaucidium griseiceps,50.6,13.4,8.7,5.9,90.4,Invertivore
creowl1,Lophostrix cristata,538.7,34.3,17.9,10.1,309.6,Invertivore
besowl,Megascops barbarus,69,17.7,9.9,6.6,136,Invertivore
pasowl4,Megascops cooperi,149.9,23.8,14.1,8.5,175.5,Invertivore
